pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WA,S25T11,561088,3174278,136/136,506/506,270/270,110/122,302/302,143/143,208/210,418/428,333/335,165/165,268/268,336/336,245/245
WA,S25T12,561081,3174290,136/136,506/506,270/270,110/110,298/304,143/143,196/208,420/428,345/345,165/165,268/268,328/334,249/255
WA,S25T13,561078,3174290,136/136,506/506,270/270,110/122,298/302,143/143,196/208,428/428,335/347,165/165,268/268,334/336,251/255
WA,S25T14,561079,3174258,136/136,506/506,270/270,110/110,298/302,143/143,196/210,428/428,335/345,163/165,268/268,328/334,251/251
WA,S25T16,561108,3174239,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,345/345,163/165,266/266,336/340,249/255
WA,S26T1,560921,3174309,136/136,506/506,270/270,122/122,302/302,143/143,196/208,428/428,345/347,165/165,256/266,328/336,251/255
WA,S26T3,560839,3174417,136/136,508/508,270/270,98/110,298/302,143/143,198/200,414/428,345/347,161/165,266/268,334/336,249/251
WA,S26T4,560843,3174448,136/136,508/508,NA,98/110,298/302,143/143,196/210,424/428,335/345,165/165,266/266,334/334,249/251
WA,S26T5,560824,3174385,136/136,506/508,270/270,110/122,302/302,143/143,196/196,420/428,345/345,165/165,256/266,340/340,235/251
WA,S26T6,560818,3174381,136/136,508/508,270/270,110/110,302/302,143/143,196/208,426/428,345/345,165/165,256/256,336/340,235/249
WA,S26T8,560739,3174298,136/136,506/506,270/270,110/122,302/302,143/143,208/212,424/428,335/335,165/165,256/256,334/340,249/251
WA,S26T9,560734,3174284,136/136,506/508,270/270,110/110,302/302,143/143,198/210,428/428,345/347,163/165,256/256,328/336,251/255
WA,S26T10,560722,3174256,136/136,506/508,270/270,110/122,298/302,143/143,196/210,428/428,345/345,165/165,256/256,328/336,255/255
WA,S26T12,560836,3174098,136/136,508/508,270/270,110/110,302/302,143/143,196/208,426/428,345/345,165/165,256/256,336/340,235/249
WA,S26T14,560893,3174074,136/136,506/508,270/270,110/122,302/302,143/143,196/196,426/428,345/345,165/165,256/256,328/340,249/255
WA,S27T1,560725,3174486,136/136,506/508,270/270,98/110,302/302,143/143,196/210,420/426,335/335,161/165,256/256,336/340,235/255
WA,S27T2,560707,3174526,136/136,506/506,NA,122/122,302/302,143/143,196/208,426/428,335/345,165/165,256/256,328/334,251/255
WA,S27T3,560703,3174533,136/136,506/506,286/286,122/122,302/302,143/143,196/196,428/428,345/345,165/165,266/266,328/334,251/251
WA,S27T4,560785,3174715,136/136,506/508,270/270,112/112,302/302,143/143,208/210,420/424,333/347,149/161,256/256,328/342,235/255
WF,S28T1,562869,3175790,136/136,506/508,270/270,112/118,302/302,143/143,198/210,418/424,335/347,161/165,268/268,328/336,235/255
WF,S28T2,562864,3175805,136/136,506/506,270/270,112/118,302/302,143/143,198/208,424/428,335/347,165/165,268/268,334/336,235/251
WF,S28T3_N,562876,3175796,136/136,506/508,270/270,110/110,302/302,143/143,198/210,414/424,335/335,149/161,256/256,336/340,235/251
WF,S28T4,562866,3175803,136/136,506/506,270/270,110/112,302/302,143/143,198/210,424/424,335/335,161/165,268/268,328/336,255/255
WF,S28T5,562861,3175807,136/136,506/510,270/270,110/110,302/302,143/143,198/208,422/428,335/335,149/161,268/268,334/336,249/255
WF,S28T6,562860,3175809,136/136,506/510,276/276,110/118,302/302,143/143,208/208,424/426,345/345,149/165,258/258,328/336,235/251
WF,S28T7,562847,3175859,136/136,506/506,270/270,110/112,298/302,143/143,208/212,422/424,335/347,149/161,256/256,312/336,237/255
WF,S28T8,562849,3175849,136/136,506/508,NA,110/112,302/302,143/143,208/210,428/428,333/345,165/165,256/256,336/340,249/249
WF,S28T9,562839,3175864,136/136,506/508,270/270,110/110,298/302,143/143,210/210,428/428,335/347,149/165,250/250,340/340,249/251
WF,S28T10,562847,3175848,136/136,508/508,270/270,110/112,302/302,143/143,208/210,418/428,333/347,149/165,256/256,340/340,235/249
WF,S28T11,562846,3175852,136/136,506/506,276/276,110/110,302/302,143/143,208/208,420/428,339/339,165/165,268/268,328/328,249/267
WF,S28T12,562848,3175862,136/136,506/506,270/270,112/118,302/302,143/143,198/208,424/428,335/347,165/165,266/266,334/336,235/251
WF,S28T13,562849,3175866,136/136,506/506,286/286,112/112,302/302,143/143,198/210,424/428,333/345,165/165,256/256,336/346,249/249
WF,S28T14,562850,3175867,136/136,506/508,270/270,112/118,302/302,143/143,210/210,424/428,345/347,149/165,246/256,334/346,251/251
WF,S28T15,562840,3175872,136/136,506/506,270/270,110/110,302/302,143/143,210/210,422/424,335/347,161/165,256/256,340/340,235/255
WF,S28T16,562820,3175884,136/136,506/506,270/270,110/118,302/302,143/143,208/208,418/426,335/347,149/165,266/266,336/340,235/255
WF,S28T17,562822,3175877,136/136,506/506,270/270,110/118,302/302,143/143,208/210,426/426,335/345,149/149,266/266,334/342,235/251
WF,S28T18,562827,3175891,136/136,506/506,270/270,110/110,302/302,143/143,198/208,414/426,335/335,149/165,268/268,336/340,235/251
WF,S28T19,562826,3175896,136/136,506/506,270/270,110/110,302/302,143/143,208/210,418/420,339/339,165/165,268/268,342/342,235/249
